# GENERATED by tools/ship-upgrade-value/run-ship-upgrade-value.ts — 직접 편집 금지. 풀강(15강·9스탯) 전함 스펙·가치 추산. 광물투자=204720cr (ore_ferrite:10200 ore_silicate:6480 ore_crystal:480). 전투/경제 밸런스 참고용.
npcShipId,shipName,hullTier,archetype,ownable,maxUpgradeLevel,baseMaxHp,fullMaxHp,baseMaxShield,fullMaxShield,baseArmor,fullArmor,baseDmgBonus,fullDmgBonus,baseDiceMean,fullDiceMean,baseLaserCdMs,fullLaserCdMs,baseMissileCdMs,fullMissileCdMs,basePerfScore,fullPerfScore,perfScoreGainPct,baseCombatPower,fullCombatPower,combatPowerGainPct,baseTradePrice,mineralInvestCredits,finalEstimatedValue,perfScaledValue
npc_mock_ai_ship_04,모의전함 04,frigate_upgraded,neutral,0,15,455,1205,220,670,11,11,7,37,18,48,343,185,1480,686,916,2274,148.2,49,647,1209.8,258976,204720,463696,642775
npc_mock_ai_ship_05,모의전함 05,frigate_upgraded,neutral,0,15,520,1270,210,660,15,15,6,36,19,49,313,176,1310,607,1026,2383,132.4,64,736,1051.7,285000,204720,489720,662267
npc_mock_ai_ship_06,모의전함 06,frigate_upgraded,neutral,0,15,470,1220,175,625,13,13,4,34,20.5,50.5,330,181,1375,637,958,2316,141.7,58,700,1112.9,270921,204720,475641,654720
npc_mock_ai_ship_07,모의전함 07,frigate_upgraded,neutral,0,15,475,1225,178,628,13,13,4,34,20.5,50.5,320,177,1318,611,971,2328,139.8,60,720,1093.4,274498,204720,479218,658298
npc_mock_ai_ship_08,모의전함 08,frigate_upgraded,neutral,0,15,500,1250,188,638,14,14,4,34,20.5,50.5,312,175,1303,604,1009,2367,134.5,65,746,1043.7,285000,204720,489720,668285
npc_mock_ai_ship_09,모의전함 09,frigate_upgraded,neutral,0,15,468,1218,176,626,13,13,4,34,20.5,50.5,323,178,1340,621,957,2314,141.9,59,711,1106.9,270511,204720,475231,654310
npc_mock_ai_ship_10,모의전함 10,frigate_upgraded,neutral,0,15,462,1212,182,632,12,12,4,34,20.5,50.5,327,180,1353,627,946,2304,143.5,58,702,1117.4,267486,204720,472206,651285
npc_mock_ai_ship_11,모의전함 11,frigate_upgraded,neutral,0,15,458,1208,186,636,12,12,3,33,16.5,46.5,335,183,1460,677,890,2248,152.5,45,626,1297.7,251710,204720,456430,635509
npc_mock_ai_ship_12,모의전함 12,frigate_upgraded,neutral,0,15,506,1256,190,640,14,14,4,34,20.5,50.5,308,174,1295,600,1017,2374,133.5,67,753,1030.4,285000,204720,489720,665607
npc_mock_ai_ship_13,모의전함 13,frigate_upgraded,neutral,0,15,515,1265,205,655,15,15,6,36,19,49,325,181,1370,635,1018,2375,133.4,61,711,1070.6,285000,204720,489720,665140
npc_mock_ai_ship_14,모의전함 14,frigate_upgraded,neutral,0,15,472,1222,178,628,13,13,4,34,20.5,50.5,319,177,1305,605,962,2319,141.1,60,721,1093.5,271953,204720,476673,655752
npc_mock_ai_ship_15,모의전함 15,frigate_upgraded,neutral,0,15,452,1202,225,675,11,11,7,37,18,48,343,185,1505,697,916,2273,148.2,49,645,1207.2,258905,204720,463625,642704
npc_mock_ai_ship_16,모의전함 16,frigate_upgraded,neutral,0,15,466,1216,180,630,13,13,4,34,20.5,50.5,323,178,1340,621,957,2315,141.8,59,712,1104.9,270568,204720,475288,654367
npc_mock_ai_ship_17,모의전함 17,frigate_upgraded,neutral,0,15,502,1252,186,636,14,14,4,34,20.5,50.5,312,175,1303,604,1010,2368,134.4,65,746,1043.7,285000,204720,489720,667943
npc_mock_ai_ship_18,모의전함 18,frigate_upgraded,neutral,0,15,474,1224,182,632,13,13,4,34,20.5,50.5,315,176,1310,607,966,2324,140.5,61,725,1082.4,273141,204720,477861,656941
npc_mock_ai_ship_19,모의전함 19,frigate_upgraded,neutral,0,15,469,1219,184,634,13,13,4,34,20.5,50.5,319,177,1318,611,962,2320,141.1,61,720,1090.4,272038,204720,476758,655837
npc_neweden_blue_7,뉴에덴 블루 7,frigate_upgraded,neutral,0,15,482,1232,192,642,13,13,5,35,21.5,51.5,317,177,1316,610,998,2355,136.1,66,744,1035.3,282046,204720,486766,665845
npc_neweden_red_7,뉴에덴 레드 7,frigate_upgraded,neutral,0,15,502,1252,158,608,13,13,5,35,21.5,51.5,261,155,1005,466,1005,2362,135.1,79,870,997.2,284110,204720,488830,667909
npc_red_fleet_1,레드전함1,frigate_upgraded,neutral,0,15,520,1270,180,630,14,14,4,34,20.5,50.5,270,158,1050,486,1025,2383,132.4,78,854,1002.1,285000,204720,489720,662451
npc_red_fleet_2,레드전함2,frigate_upgraded,neutral,0,15,480,1230,220,670,16,16,6,36,19,49,330,181,1275,591,999,2357,135.9,60,719,1097.8,282442,204720,487162,666241
npc_red_fleet_3,레드전함3,frigate_upgraded,neutral,0,15,440,1190,120,570,11,11,5,35,23,53,225,144,915,424,936,2294,145,83,914,1006.9,264631,204720,469351,648431
npc_solar_guard_1,솔라경비함1,frigate_upgraded,neutral,0,15,455,1205,175,625,13,13,3,33,16.5,46.5,335,183,1460,677,889,2247,152.7,44,624,1304.7,251413,204720,456133,635212
npc_solar_guard_2,솔라경비함2,frigate_upgraded,neutral,0,15,500,1250,190,640,14,14,4,34,20.5,50.5,308,174,1295,600,1011,2368,134.3,66,751,1035.4,285000,204720,489720,667867
npc_vega_blue_10,베가 블루 수호 10,frigate_upgraded,neutral,0,15,460,1210,225,675,11,11,7,37,18,48,343,185,1480,686,924,2281,147,50,650,1199.5,261167,204720,465887,644966
npc_vega_blue_11,베가 블루 수호 11,frigate_upgraded,neutral,0,15,476,1226,186,636,13,13,4,34,20.5,50.5,323,178,1340,621,970,2328,139.9,60,718,1089.4,274328,204720,479048,658127
npc_vega_blue_7,베가 블루 수호 7,frigate_upgraded,neutral,0,15,478,1228,188,638,13,13,5,35,21.5,51.5,315,176,1310,607,991,2349,136.9,65,744,1040.6,280294,204720,485014,664094
npc_vega_blue_8,베가 블루 수호 8,frigate_upgraded,neutral,0,15,480,1230,190,640,13,13,5,35,21.5,51.5,315,176,1310,607,995,2352,136.5,66,745,1037,281170,204720,485890,664969
npc_vega_blue_9,베가 블루 수호 9,frigate_upgraded,neutral,0,15,508,1258,186,636,14,14,4,34,20.5,50.5,308,174,1295,600,1016,2374,133.6,66,753,1032,285000,204720,489720,665682
npc_vega_guard_1,베가경비함1,frigate_upgraded,neutral,0,15,470,1220,180,630,14,14,4,34,20.5,50.5,315,176,1310,607,969,2327,140.1,62,726,1080.5,273960,204720,478680,657758
npc_vega_guard_2,베가경비함2,frigate_upgraded,neutral,0,15,430,1180,230,680,12,12,7,37,18,48,343,185,1505,697,905,2262,150.1,49,642,1216.7,255725,204720,460445,639525
npc_vega_red_10,베가 레드 돌격 10,frigate_upgraded,neutral,0,15,498,1248,148,598,12,12,5,35,23,53,228,144,915,424,1011,2369,134.2,94,960,924.9,285000,204720,489720,667527
npc_vega_red_11,베가 레드 돌격 11,frigate_upgraded,neutral,0,15,516,1266,184,634,14,14,4,34,20.5,50.5,259,153,1020,473,1023,2381,132.7,81,881,993.6,285000,204720,489720,663115
npc_vega_red_12,베가 레드 돌격 12,frigate_upgraded,neutral,0,15,524,1274,216,666,15,15,6,36,19,49,313,176,1310,607,1033,2390,131.4,65,740,1043.8,285000,204720,489720,659601
npc_vega_red_4,베가 레드 돌격 4,frigate_upgraded,neutral,0,15,500,1250,150,600,13,13,5,35,21.5,51.5,269,158,1020,473,999,2356,136,76,852,1018.6,282301,204720,487021,666100
npc_vega_red_5,베가 레드 돌격 5,frigate_upgraded,neutral,0,15,505,1255,152,602,13,13,5,35,21.5,51.5,269,158,1020,473,1005,2362,135.1,77,855,1012.3,284026,204720,488746,667826
npc_vega_red_6,베가 레드 돌격 6,frigate_upgraded,neutral,0,15,515,1265,180,630,14,14,4,34,20.5,50.5,259,153,1020,473,1020,2378,133.1,80,879,997.6,285000,204720,489720,664301
npc_vega_red_7,베가 레드 돌격 7,frigate_upgraded,neutral,0,15,518,1268,182,632,14,14,4,34,20.5,50.5,259,153,1020,473,1024,2382,132.6,81,881,993.6,285000,204720,489720,662783
npc_vega_red_8,베가 레드 돌격 8,frigate_upgraded,neutral,0,15,520,1270,210,660,15,15,6,36,19,49,313,176,1310,607,1026,2383,132.4,64,736,1051.7,285000,204720,489720,662267
npc_vega_red_9,베가 레드 돌격 9,frigate_upgraded,neutral,0,15,522,1272,214,664,15,15,6,36,19,49,313,176,1310,607,1030,2387,131.8,64,738,1047,285000,204720,489720,660728
npc_vega_test_ship_a,베가전함A,frigate_upgraded,neutral,0,15,510,1260,175,625,14,14,4,34,20.5,50.5,259,153,1020,473,1012,2370,134.1,79,875,1005.8,285000,204720,489720,667205
npc_vega_test_ship_b,베가전함B,frigate_upgraded,neutral,0,15,485,1235,195,645,13,13,5,35,21.5,51.5,323,178,1340,621,1002,2360,135.4,65,739,1038.9,283361,204720,488081,667160
npc_wave_invader_t1,웨이브 적함 T1(기본),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t10,웨이브 적함 T10(플라즈마 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t11,웨이브 적함 T11(지역 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t12,웨이브 적함 T12(섬멸 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t13,웨이브 적함 T13(가이드 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t14,웨이브 적함 T14(플라즈노바 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t15,웨이브 적함 T15(근격 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t16,웨이브 적함 T16(하이퍼 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t17,웨이브 적함 T17(카이로스 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t18,웨이브 적함 T18(시귤러리티 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t19,웨이브 적함 T19(코스메가 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t2,웨이브 적함 T2(로켓 연발),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t20,웨이브 적함 T20(속사+돌격드론),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t21,웨이브 적함 T21(속사+폭격함재기),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t22,웨이브 적함 T22(위상+단거리로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t23,웨이브 적함 T23(커팅+유도미사일),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t24,웨이브 적함 T24(돌격로켓+스파이크드론),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t25,웨이브 적함 T25(융합로켓+댄싱드론),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t26,웨이브 적함 T26(입자포+침투함재기),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t27,웨이브 적함 T27(광자레이저+추적미사일),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t28,웨이브 적함 T28(핵로켓+순항미사일),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t29,웨이브 적함 T29(반물질+아다만틴함재기),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t3,웨이브 적함 T3(유격 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t30,웨이브 적함 T30(방위빔+전술드론),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t4,웨이브 적함 T4(고속 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t5,웨이브 적함 T5(융합 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t6,웨이브 적함 T6(중형 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t7,웨이브 적함 T7(레일 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t8,웨이브 적함 T8(근거리 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
npc_wave_invader_t9,웨이브 적함 T9(연발 로켓),frigate_upgraded,neutral,0,15,80,830,40,490,8,8,2,32,6.5,36.5,270,158,1200,556,268,1626,506.5,5,412,7485.1,220000,204720,424720,1334366
Player_apex_legend_mk1,아펙스 레전드,apex_legend,fighter,1,15,880,1630,320,770,21,21,3,33,12,42,300,171,1150,533,1470,2828,92.3,69,833,1107.5,100000000,204720,100204720,192346939
Player_battlecruiser_apex,소버린 순양전함·완성형,battlecruiser_max,fighter,1,15,640,1390,255,705,18,18,6,36,19,49,313,176,1310,607,1218,2576,111.4,78,804,929.1,100000,204720,304720,211430
Player_battlecruiser_mk1,소버린 순양전함,battlecruiser,fighter,1,15,620,1370,245,695,18,18,6,36,19,49,313,176,1310,607,1187,2544,114.4,76,793,945.5,15000000,204720,15204720,32158205
Player_cruiser_mk1,오라클 순양함,cruiser,fighter,1,15,600,1350,235,685,17,17,7,37,20,50,330,181,1305,605,1159,2517,117.1,74,781,959.2,5000000,204720,5204720,10855079
Player_cruiser_mk2,오라클 순양함 Mk.II,cruiser_upgraded,fighter,1,15,610,1360,240,690,17,17,8,38,21,51,313,176,1310,607,1184,2542,114.7,82,817,897,7500000,204720,7704720,16099029
Player_destroyer_mk1,가디언 구축함,destroyer,fighter,1,15,600,1350,250,700,18,18,6,36,22.5,52.5,343,185,1365,633,1212,2569,112.1,82,805,885.2,1200000,204720,1404720,2544614
Player_destroyer_mk2,가디언 구축함 Mk.II,destroyer_upgraded,fighter,1,15,580,1330,220,670,17,17,6,36,22.5,52.5,318,176,1245,577,1167,2525,116.3,83,832,899.1,1800000,204720,2004720,3893830
Player_dreadnought_mk1,드레드노트,dreadnought,fighter,1,15,680,1430,265,715,19,19,3,33,12,42,300,171,1150,533,1194,2551,113.7,55,745,1246.9,25000000,204720,25204720,53429319
Player_freighter,생존포드,frigate_upgraded,survival,1,15,150,900,30,480,10,10,1,31,5.5,35.5,400,204,1750,811,325,1682,418.3,4,319,7153.9,220000,204720,424720,1140339
Player_frigate_mk2,스트라이커 Mk.II,frigate_upgraded,ranger,1,15,400,1150,95,545,9,9,6,36,24,54,183,127,810,376,884,2242,153.5,91,1005,1000.5,250000,204720,454720,633800
Player_hunter_mk1,헌터 구축함,destroyer,ranger,1,15,450,1200,125,575,10,10,6,36,24,54,178,125,770,357,959,2316,141.6,109,1082,892.8,1056000,204720,1260720,2551197
Player_hunter_mk2,헌터 구축함 Mk.II,destroyer_upgraded,ranger,1,15,480,1230,135,585,11,11,7,37,25,55,171,123,735,341,1020,2378,133.1,127,1162,817,1584000,204720,1788720,3691601
Player_npc_red_fleet_1,기본전함 파이터 Mk.I,frigate_default,fighter,1,15,560,1310,210,660,16,16,5,35,21.5,51.5,295,167,1135,526,1116,2473,121.7,82,854,936.1,113999,204720,318719,252729
Player_phantom_apex_legend_mk1,팬텀 레전드,apex_legend,ranger,1,15,620,1370,205,655,15,15,11,41,29,59,165,120,705,327,1309,2666,103.7,205,1442,603.4,89030612,204720,89235332,181377551
Player_phantom_dreadnought_mk1,팬텀 드레드노트,dreadnought,ranger,1,15,540,1290,175,625,13,13,9,39,27,57,159,120,675,313,1154,2512,117.6,172,1327,672.4,24172774,204720,24377494,52602092
Player_phantom_super_capital_mk1,팬텀 슈퍼캐피털,super_capital,ranger,1,15,580,1330,190,640,14,14,10,40,28,58,165,120,705,327,1229,2586,110.5,185,1376,644.8,45290322,204720,45495042,95336404
Player_raptor_bc_apex,랩터 순양전함·완성형,battlecruiser_max,ranger,1,15,520,1270,165,615,13,13,9,39,27,57,165,120,705,327,1129,2486,120.3,159,1291,710.6,92653,204720,297373,204083
Player_raptor_bc_mk1,랩터 순양전함,battlecruiser,ranger,1,15,500,1250,155,605,12,12,8,38,26,56,165,120,705,327,1077,2435,126,146,1245,752.2,13615967,204720,13820687,30774171
Player_scout_ship,기본전함 레인저 CM.I,frigate_default,ranger,1,15,72,822,88,538,11,11,1,31,5.5,35.5,190,130,730,339,304,1662,446,9,549,5965.8,100000,204720,304720,545959
Player_shadow_cruiser_mk1,섀도우 순양함,cruiser,ranger,1,15,470,1220,140,590,11,11,7,37,25,55,165,120,705,327,1013,2371,134,131,1189,811.2,4400000,204720,4604720,10296347
Player_shadow_cruiser_mk2,섀도우 순양함 Mk.II,cruiser_upgraded,ranger,1,15,490,1240,148,598,12,12,8,38,26,56,165,120,705,327,1063,2421,127.7,143,1234,764.4,6736064,204720,6940784,15335092
Player_super_capital_mk1,슈퍼캐피털,super_capital,fighter,1,15,800,1550,295,745,20,20,3,33,12,42,300,171,1150,533,1356,2714,100.1,63,796,1158.3,50000000,204720,50204720,100046083
player_wave_ship,웨이브 디펜스 전함,frigate_default,special,1,15,3700,4450,1500,1950,32,32,34,64,79.5,109.5,200,134,835,387,5873,7231,23.1,2688,7322,172.4,113999,204720,318719,140349
